va1,val2,val3,val4,val5,val6,val7,val8,labels
47,35,70,94,16,11,8,62,backward
36,101,128,112,46,29,20,27,right
61,18,25,10,19,12,73,77,left
51,33,20,85,42,11,46,128,forward
57,42,63,53,13,9,8,58,backward
50,53,111,95,51,24,12,69,right
47,18,42,14,10,26,96,72,left
65,53,12,39,33,14,33,90,forward
71,43,58,51,9,7,12,63,backward
81,54,125,99,20,14,10,63,right
69,12,13,35,17,16,49,64,left
55,46,15,46,49,10,15,117,forward
75,28,67,20,9,7,11,57,backward
66,86,98,85,26,21,14,52,right
46,10,10,8,9,11,37,98,left
25,35,16,37,28,13,43,112,forward
60,69,80,48,11,7,14,69,backward
61,64,116,114,25,11,11,79,right
63,14,74,18,11,21,70,108,left
37,27,16,63,30,14,41,125,forward
48,38,83,44,10,8,17,84,backward
42,81,118,107,30,19,12,30,right
70,17,38,9,7,15,35,102,left
33,29,11,57,39,11,16,128,forward
58,21,62,37,7,6,12,74,backward
13,64,120,124,21,14,8,13,right
60,16,18,8,8,25,124,104,left
40,81,18,49,49,13,38,108,forward
42,41,72,67,10,5,6,63,backward
39,35,85,71,31,13,7,37,right
42,8,9,6,5,9,26,81,left
128,54,24,56,57,21,56,128,forward
67,30,100,63,15,8,29,62,backward
65,80,113,78,34,15,10,61,right
64,12,29,7,5,10,23,88,left
48,30,11,35,25,15,33,126,forward
45,29,82,67,10,12,14,82,backward
44,36,89,122,49,20,13,53,right
64,16,52,21,13,37,23,37,left
26,67,33,50,87,32,33,127,forward
44,22,35,72,12,10,6,61,backward
63,29,97,128,20,46,8,26,right
95,30,8,11,6,21,12,66,left
22,36,22,61,50,24,32,114,forward
44,28,62,59,13,10,22,51,backward
40,35,117,124,45,16,9,39,right
63,11,18,8,7,19,24,47,left
33,56,18,61,42,17,21,127,forward
39,18,86,64,11,5,6,34,backward
35,35,108,128,37,17,12,36,right
23,14,16,9,7,16,18,36,left
55,97,22,55,42,16,17,92,forward
58,25,50,94,12,6,7,43,backward
47,36,113,127,31,14,10,57,right
94,79,35,18,20,22,73,81,left
83,104,30,89,83,28,30,128,forward
42,27,49,70,13,6,8,49,backward
32,86,128,127,44,22,14,26,right
39,70,61,19,10,26,86,86,left
46,73,40,24,16,13,24,73,forward
17,63,104,25,10,8,24,35,backward
40,116,127,116,58,25,16,32,right
67,83,65,22,17,17,65,68,left
21,17,11,41,31,8,6,47,forward
50,23,65,38,12,8,7,51,backward
27,39,110,96,111,128,42,21,right
112,39,76,23,25,53,119,124,left
15,27,83,44,46,16,16,27,forward
89,46,104,54,31,15,16,72,backward
11,31,106,82,21,15,6,17,right
48,15,28,10,31,26,52,70,left
90,51,26,99,64,25,27,70,forward
58,27,85,44,10,5,12,81,backward
29,40,71,89,28,14,7,62,right
88,47,25,10,8,22,127,87,left
49,108,26,54,39,11,20,128,forward
41,19,35,43,9,6,12,99,backward
24,42,112,115,28,13,8,58,right
60,24,28,26,24,25,89,111,left
82,65,16,38,19,11,24,127,forward
44,23,37,33,6,6,15,83,backward
25,21,89,127,42,21,19,18,right
52,13,24,13,8,13,81,111,left
57,78,17,63,54,19,24,127,forward
82,13,49,67,12,6,18,43,backward
65,64,128,127,40,21,15,53,right
54,10,22,5,5,11,61,69,left
64,62,29,54,63,24,54,128,forward
44,42,63,57,7,5,16,53,backward
26,47,99,128,53,24,18,50,right
105,26,27,32,9,17,72,79,left
78,89,13,53,44,20,21,119,forward
79,14,60,64,11,6,8,57,backward
24,27,87,99,37,14,9,9,right
87,27,20,11,9,23,85,73,left
51,116,25,52,56,15,21,124,forward
58,22,63,51,15,7,9,54,backward
30,82,128,30,24,18,28,73,right
35,23,54,13,13,49,92,96,left
113,41,56,75,20,7,68,29,forward
17,44,84,12,7,6,33,71,backward
51,70,128,81,43,12,58,78,right
37,59,54,11,12,69,116,108,left
128,68,41,50,25,13,105,28,forward
21,44,58,12,7,6,45,91,backward
53,21,26,77,98,22,11,13,right
67,36,35,20,10,13,11,52,left
128,69,47,18,72,14,9,36,forward
83,38,27,46,27,7,5,8,backward
94,36,31,92,97,30,16,14,right
97,73,18,15,10,8,29,65,left
128,40,43,14,79,16,10,25,forward
105,42,67,30,49,9,6,25,backward
80,49,64,116,109,23,14,11,right
95,72,25,27,9,7,37,71,left
67,45,38,13,30,22,9,18,forward
67,36,31,65,50,7,5,24,backward
29,20,60,125,117,32,21,9,right
95,79,17,46,11,10,15,99,left
50,51,43,11,40,27,8,28,forward
64,32,21,70,30,7,5,11,backward
30,24,95,123,34,21,7,28,right
77,14,18,8,5,14,71,51,left
62,67,21,43,53,13,14,80,forward
55,13,52,71,6,4,5,70,backward
16,27,72,95,64,49,15,13,right
25,21,23,22,10,14,32,49,left
31,16,39,27,25,40,16,45,forward
28,51,48,93,63,20,9,32,backward
40,32,104,77,72,26,31,54,right
88,47,29,31,21,11,19,75,left
24,18,69,27,47,68,14,20,forward
35,34,47,73,48,22,6,7,backward
18,111,82,79,28,17,10,9,right
76,66,65,42,20,44,127,127,left
30,58,18,37,46,16,74,69,forward
41,62,91,74,19,10,32,64,backward
60,40,6,9,8,5,4,5,right
7,9,15,13,10,5,5,4,left
37,24,58,26,38,19,6,21,forward
37,29,19,57,26,7,6,11,backward
47,36,88,122,114,31,13,7,right
82,59,19,58,38,9,105,113,left
14,11,49,21,33,18,11,13,forward
29,11,68,91,36,14,5,4,backward
13,49,51,20,23,10,8,13,right
24,20,11,20,19,48,76,94,left
20,6,9,9,10,10,42,13,forward
13,28,12,10,10,7,38,72,backward
24,70,51,23,15,13,10,20,right
16,6,7,10,17,76,32,73,left
23,10,9,15,9,9,41,20,forward
16,24,11,8,9,22,26,60,backward
17,22,31,35,37,19,8,8,right
86,37,5,9,18,15,25,37,left
8,17,4,6,11,9,7,23,forward
83,17,35,13,13,11,5,15,backward
62,42,57,60,50,19,8,18,right
98,59,14,10,20,17,23,53,left
24,42,13,14,29,25,12,56,forward
128,41,46,35,39,21,9,35,backward
13,37,21,51,45,12,13,12,right
100,90,15,7,7,7,17,55,left
29,26,15,6,9,6,6,20,forward
77,40,18,19,14,7,10,10,backward
50,31,48,74,54,18,12,13,right
107,65,21,10,5,9,16,32,left
24,34,18,6,8,9,8,16,forward
75,64,31,30,15,9,10,11,backward
12,33,79,97,24,13,8,9,right
6,6,8,30,36,25,33,14,left
24,23,35,15,21,10,7,8,forward
18,15,27,27,12,8,13,16,backward
21,51,83,111,27,33,25,18,right
39,18,16,9,9,17,55,40,left
12,16,6,32,46,13,5,6,forward
14,13,25,26,9,12,7,11,backward
55,29,21,46,60,23,37,76,right
75,32,8,6,4,13,17,25,left
21,14,36,30,31,72,94,50,forward
17,18,20,37,25,14,16,17,backward
17,20,45,95,102,27,21,35,right
78,59,27,17,21,8,12,25,left
29,15,27,23,32,54,74,55,forward
16,17,14,23,35,12,23,9,backward
13,31,109,127,45,20,13,10,right
104,30,35,13,11,24,87,37,left
55,67,44,57,85,21,22,69,forward
63,21,112,84,19,12,45,18,backward
36,61,128,125,67,24,42,12,right
6,7,13,9,7,15,71,21,left
18,33,5,19,30,10,5,7,forward
6,7,45,68,10,5,4,4,backward
4,9,26,105,31,11,5,4,right
4,4,9,24,5,5,22,5,left
4,14,4,6,13,4,3,3,forward
10,13,21,88,15,6,6,3,backward
11,19,47,128,82,25,26,15,right
87,50,35,21,9,11,66,38,left
10,47,9,11,44,10,6,9,forward
67,51,61,128,39,13,24,9,backward
10,14,46,117,55,14,8,7,right
32,42,8,11,7,15,73,42,left
24,78,13,9,25,9,4,15,forward
19,15,22,77,25,8,8,4,backward
17,58,127,127,47,40,21,13,right
10,8,25,9,7,15,60,6,left
104,117,31,83,71,48,83,94,forward
30,15,63,51,32,49,10,15,backward
25,83,127,108,66,56,25,19,right
70,14,35,14,32,59,102,41,left
75,73,11,64,71,65,34,97,forward
39,15,72,35,27,63,9,12,backward
20,35,78,99,66,59,27,18,right
108,62,29,38,18,8,47,41,left
56,114,52,36,50,26,23,44,forward
45,34,45,81,47,37,28,10,backward
19,24,41,99,68,52,27,16,right
71,34,10,23,17,7,73,115,left
28,106,63,20,44,35,18,43,forward
60,39,96,112,40,39,28,12,backward
